Current Path,Category,Proposed New Path,Runtime Impact,Safe to Move
# ROOT PYTHON MODULES
main.py,ACTIVE,main.py (keep at root),HIGH,NO - entry point
horror_story_generator.py,ACTIVE,src/generator/horror_story_generator.py,HIGH,NO - requires import updates
api_client.py,ACTIVE,src/generator/api_client.py,HIGH,NO - requires import updates
prompt_builder.py,ACTIVE,src/generator/prompt_builder.py,HIGH,NO - requires import updates
template_loader.py,ACTIVE,src/generator/template_loader.py,HIGH,NO - requires import updates
logging_config.py,ACTIVE,src/generator/logging_config.py,MEDIUM,NO - requires import updates
story_registry.py,ACTIVE,src/dedup/story_registry.py,HIGH,NO - requires import updates
similarity.py,ACTIVE,src/dedup/similarity.py,MEDIUM,NO - requires import updates
data_paths.py,ACTIVE,src/common/data_paths.py,HIGH,NO - requires import updates
job_manager.py,ACTIVE,src/jobs/manager.py,MEDIUM,NO - requires import updates
job_monitor.py,ACTIVE,src/jobs/monitor.py,MEDIUM,NO - requires import updates
seed_integration.py,ACTIVE,src/registry/seed_integration.py,MEDIUM,NO - requires import updates
seed_registry.py,ACTIVE,src/registry/seed_registry.py,MEDIUM,NO - requires import updates
story_seed.py,ACTIVE,src/common/story_seed.py,MEDIUM,NO - requires import updates
research_registry.py,ACTIVE,src/registry/research_registry.py,MEDIUM,NO - requires import updates
# RESEARCH API PACKAGE
research_api/__init__.py,ACTIVE,src/api/__init__.py,HIGH,NO - requires import updates
research_api/main.py,ACTIVE,src/api/main.py,HIGH,NO - requires import updates
research_api/routers/__init__.py,ACTIVE,src/api/routers/__init__.py,MEDIUM,NO - requires import updates
research_api/routers/jobs.py,ACTIVE,src/api/routers/jobs.py,HIGH,NO - requires import updates
research_api/routers/research.py,ACTIVE,src/api/routers/research.py,MEDIUM,NO - requires import updates
research_api/routers/dedup.py,ACTIVE,src/api/routers/dedup.py,MEDIUM,NO - requires import updates
research_api/schemas/__init__.py,ACTIVE,src/api/schemas/__init__.py,MEDIUM,NO - requires import updates
research_api/schemas/jobs.py,ACTIVE,src/api/schemas/jobs.py,MEDIUM,NO - requires import updates
research_api/schemas/research.py,ACTIVE,src/api/schemas/research.py,MEDIUM,NO - requires import updates
research_api/schemas/dedup.py,ACTIVE,src/api/schemas/dedup.py,MEDIUM,NO - requires import updates
research_api/services/__init__.py,ACTIVE,src/api/services/__init__.py,MEDIUM,NO - requires import updates
research_api/services/dedup_service.py,ACTIVE,src/api/services/dedup_service.py,MEDIUM,NO - requires import updates
research_api/services/research_service.py,ACTIVE,src/api/services/research_service.py,MEDIUM,NO - requires import updates
research_api/services/ollama_resource.py,ACTIVE,src/api/services/ollama_resource.py,MEDIUM,NO - requires import updates
# RESEARCH EXECUTOR PACKAGE
research_executor/__init__.py,ACTIVE,src/research/__init__.py,HIGH,NO - requires import updates
research_executor/__main__.py,ACTIVE,src/research/__main__.py,HIGH,NO - requires import updates
research_executor/cli.py,ACTIVE,src/research/cli.py,HIGH,NO - requires import updates
research_executor/config.py,ACTIVE,src/research/config.py,MEDIUM,NO - requires import updates
research_executor/executor.py,ACTIVE,src/research/executor.py,HIGH,NO - requires import updates
research_executor/output_writer.py,ACTIVE,src/research/output_writer.py,MEDIUM,NO - requires import updates
research_executor/prompt_template.py,ACTIVE,src/research/prompt_template.py,MEDIUM,NO - requires import updates
research_executor/validator.py,ACTIVE,src/research/validator.py,MEDIUM,NO - requires import updates
# RESEARCH DEDUP PACKAGE
research_dedup/__init__.py,ACTIVE,src/dedup/__init__.py (merge),MEDIUM,NO - requires import updates
research_dedup/dedup.py,ACTIVE,src/dedup/research_dedup.py,MEDIUM,NO - requires import updates
research_dedup/embedder.py,ACTIVE,src/dedup/embedder.py,MEDIUM,NO - requires import updates
research_dedup/index.py,ACTIVE,src/dedup/faiss_index.py,MEDIUM,NO - requires import updates
# RESEARCH INTEGRATION PACKAGE
research_integration/__init__.py,ACTIVE,src/research/__init__.py (merge),MEDIUM,NO - requires import updates
research_integration/loader.py,ACTIVE,src/research/loader.py,MEDIUM,NO - requires import updates
research_integration/selector.py,ACTIVE,src/research/selector.py,MEDIUM,NO - requires import updates
research_integration/phase_b_hooks.py,ACTIVE,src/research/hooks.py,MEDIUM,NO - requires import updates
# FOUNDATION ASSETS - KNOWLEDGE UNITS
phase1_foundation/01_knowledge_units/knowledge_units.json,DATA,assets/knowledge_units/knowledge_units.json,HIGH,NO - path refs in code
# FOUNDATION ASSETS - TEMPLATES
phase1_foundation/03_templates/template_skeletons_v1.json,DATA,assets/templates/template_skeletons_v1.json,HIGH,NO - path refs in code
# FOUNDATION ASSETS - CANONICAL
phase1_foundation/02_canonical_abstraction/canonical_enum.md,DOC,assets/canonical/canonical_enum.md,LOW,YES
phase1_foundation/02_canonical_abstraction/ku_canonical_features.json,DATA,assets/canonical/ku_canonical_features.json,MEDIUM,NO - path refs in code
